otvoritev,barva,stevilo_iger,eco,datum,performance_rating,povprecen_rating,zmaga,remi,poraz,poteze
"Alekhine Defense, Modern Variation, Panov Variation",white,217,B05,2022-04-12,2289,2253,45.6,20.7,33.6,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Bg4 5.h3
"Alekhine Defense, Modern Variation, Schmid Variation",black,873,B04,2022-06-23,2296,2326,33.1,30.9,36.0,1.e4 Nf6 2.e5 Nd5 3.d4 d6 4.Nf3 Nb6
"Alekhine Defense, Normal Variation",black,1498,B03,2022-07-24,2102,2138,41.9,24.8,33.3,1.e4 Nf6 2.e5 Nd5 3.d4 d6
"Alekhine Defense, Normal Variation",black,1269,B02,2022-07-15,2109,2144,34.7,23.3,42.1,1.e4 Nf6 2.e5 Nd5
"Alekhine Defense, Saemisch Attack",white,1753,B02,2022-07-08,2243,2208,39.1,27.7,33.3,1.e4 Nf6 2.e5 Nd5 3.Nc3
"Alekhine Defense, Scandinavian Variation",black,5920,B02,2022-07-24,2103,2127,40.9,26.7,32.4,1.e4 Nf6 2.Nc3 d5
"Alekhine Defense, Spielmann Gambit",white,180,B02,2022-03-29,2223,2205,38.9,15.0,46.1,1.e4 Nf6 2.Nc3 d5 3.e5 Nfd7 4.e6
"Alekhine Defense, Steiner Variation",white,105,B02,2021-07-09,2221,2245,37.1,18.1,44.8,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.b3
"Alekhine Defense, Two Pawn Attack",white,543,B02,2022-07-24,1985,1949,38.5,16.2,45.3,1.e4 Nf6 2.e5 Nd5 3.c4
"Alekhine Defense, Two Pawn Attack, Lasker Variation",white,1106,B02,2022-06-09,2206,2192,34.5,29.1,36.4,1.e4 Nf6 2.e5 Nd5 3.c4 Nb6 4.c5
"Amar Opening, General",white,154,E00,2022-07-07,2201,2192,48.0,16.9,35.1,1.Nh3
"Anderssen Opening, General",white,1997,A00,2022-05-27,2161,2162,39.3,22.3,38.4,1.a3
"Barnes Opening, General",white,131,A00,2022-07-24,2099,2198,38.9,14.5,46.6,1.f3
"Benko Gambit, Accepted, Central Storming Variation",white,218,A57,2022-02-22,2250,2236,38.5,22.9,38.5,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 g6 6.Nc3 Bxa6 7.f4
"Benko Gambit, Accepted, Dlugy Variation",white,1712,A57,2022-07-19,2279,2260,42.4,24.6,33.1,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.f3
"Benko Gambit, Accepted, Fianchetto Variation",white,3083,A58,2022-07-23,2270,2255,42.5,28.3,29.3,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 g6 7.Nf3 d6 8.g3 Bg7 9.Bg2
"Benko Gambit, Accepted, Fully Accepted Variation",white,5880,A58,2022-07-27,2258,2246,38.6,27.8,33.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6
"Benko Gambit, Accepted, King Walk Variation",white,2247,A59,2022-07-13,2297,2254,43.4,30.6,26.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.g3 Bg7 10.Kg2 O-O 11.Nf3
"Benko Gambit, Accepted, Modern Variation",white,2517,A57,2022-07-25,2329,2292,45.4,26.2,28.4,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.e3
"Benko Gambit, Accepted, Pawn Return Variation",white,4285,A57,2022-07-22,2228,2209,40.0,25.4,34.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.b6
"Benko Gambit, Accepted, Yugoslav with 7...Bxf1, Nge2",white,193,A59,2021-10-11,2191,2195,38.3,20.2,41.5,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4 Bxf1 8.Kxf1 g6 9.Nge2
"Benko Gambit, Accepted, Yugoslav without 7...Bxf1",white,422,A59,2022-06-27,2146,2126,40.0,25.4,34.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.bxa6 Bxa6 6.Nc3 d6 7.e4
"Benko Gambit, Declined, Bishop Attack",white,179,A57,2022-04-19,2271,2235,41.3,26.8,31.8,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Bg5
"Benko Gambit, Declined, Main Line",white,3483,A57,2022-07-25,2345,2308,45.8,26.4,27.7,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nf3
"Benko Gambit, Declined, Pseudo-Saemisch",white,239,A57,2022-05-15,2181,2184,43.5,15.5,41.0,1.d4 Nf6 2.c4 c5 3.d5 b5 4.f3
"Benko Gambit, Declined, Quiet Line",white,803,A57,2022-06-28,2290,2257,43.7,23.4,32.9,1.d4 Nf6 2.c4 c5 3.d5 b5 4.Nd2
"Benko Gambit, Declined, Sosonko Variation",white,798,A57,2022-07-04,2214,2207,37.0,24.6,38.5,1.d4 Nf6 2.c4 c5 3.d5 b5 4.a4
"Benko Gambit, General",black,2492,A57,2022-07-26,2109,2116,41.8,20.8,37.4,1.d4 Nf6 2.c4 c5 3.d5 b5
"Benko Gambit, Zaitsev System",white,819,A58,2022-06-22,2073,2073,32.6,18.8,48.6,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3
"Benko Gambit, Zaitsev Variation, Nescafe Frappe Attack",white,751,A57,2022-05-23,2227,2232,38.1,16.4,45.5,1.d4 Nf6 2.c4 c5 3.d5 b5 4.cxb5 a6 5.Nc3 axb5 6.e4 b4 7.Nb5
"Benoni Defense, Benoni Gambit Accepted",white,817,A43,2022-07-19,2068,2073,31.8,21.9,46.3,1.d4 c5 2.dxc5
"Benoni Defense, Benoni Gambit, Schlenker Defense",black,130,A43,2022-01-29,2196,2199,39.2,28.5,32.3,1.d4 c5 2.dxc5 Na6
"Benoni Defense, Benoni-Indian Defense",black,1381,A43,2022-07-24,2172,2214,28.7,25.6,45.8,1.d4 c5 2.d5 Nf6
"Benoni Defense, Benoni-Indian Defense, Kingside move order",white,4787,A43,2022-07-24,2333,2292,46.0,26.7,27.3,1.d4 c5 2.d5 Nf6 3.Nf3
"Benoni Defense, Classical Variation, Argentine Counterattack",black,521,A75,2022-05-16,2299,2329,35.3,29.2,35.5,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4 Bg4
"Benoni Defense, Classical Variation, Averbakh-Grivas Attack",white,613,A71,2022-07-02,2324,2276,46.5,20.7,32.8,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Bg5
"Benoni Defense, Classical Variation, Czerniak Defense",black,248,A76,2022-03-30,2196,2219,39.9,24.6,35.5,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8
"Benoni Defense, Classical Variation, Czerniak Defense",black,314,A78,2022-07-02,2344,2330,36.6,27.7,35.7,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6
"Benoni Defense, Classical Variation, Czerniak Defense",white,461,A79,2022-07-01,2429,2372,44.5,27.8,27.8,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2 Na6 11.f3
"Benoni Defense, Classical Variation, Czerniak Defense, Tal Line",white,1092,A77,2022-07-12,2357,2327,43.4,25.0,31.6,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O Re8 10.Nd2
"Benoni Defense, Classical Variation, Full line",white,222,A74,2022-06-22,2196,2162,42.3,22.5,35.1,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O a6 10.a4
"Benoni Defense, Classical Variation, General",white,2188,A70,2022-07-19,2248,2213,35.7,23.5,40.8,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3
"Benoni Defense, Classical Variation, Main line",white,636,A73,2022-05-09,2271,2259,36.2,28.6,35.2,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2 O-O 9.O-O
"Benoni Defense, Classical Variation, New York Variation",white,3022,A70,2022-07-30,2365,2306,44.5,30.0,25.5,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.h3
"Benoni Defense, Classical Variation, Traditional Variation",white,311,A72,2022-05-23,2271,2258,36.7,28.0,35.4,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.Nf3 Bg7 8.Be2
"Benoni Defense, Czech Benoni Defense",black,4466,A56,2022-07-24,2239,2290,30.6,26.3,43.1,1.d4 Nf6 2.c4 c5 3.d5 e5
"Benoni Defense, Fianchetto Variation",black,3942,A62,2022-07-25,2303,2347,34.8,26.7,38.5,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O
"Benoni Defense, Fianchetto Variation, Hastings Defense",black,425,A63,2022-07-07,2384,2431,35.5,33.4,31.1,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7
"Benoni Defense, Fianchetto Variation, Hastings Defense, Main Line",black,1924,A64,2022-07-01,2347,2348,41.3,28.1,30.6,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.g3 Bg7 8.Bg2 O-O 9.O-O Nbd7 10.Nd2 a6 11.a4 Re8
"Benoni Defense, Four Pawns Attack",black,478,A68,2022-05-19,2195,2223,44.6,20.5,34.9,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O
"Benoni Defense, Four Pawns Attack, Main Line",black,1363,A69,2022-07-06,2138,2196,30.4,22.4,47.2,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Nf3 O-O 9.Be2 Re8
"Benoni Defense, Franco-Sicilian Defense",white,920,A43,2022-07-24,2240,2189,45.1,26.2,28.7,1.d4 c5 2.d5 e6 3.e4
"Benoni Defense, General",black,6607,A43,2022-07-27,2125,2157,40.0,25.4,34.6,1.d4 c5
"Benoni Defense, Hromodka System",black,2708,A57,2022-07-23,2180,2231,27.6,26.7,45.6,1.d4 Nf6 2.c4 c5 3.d5 d6
"Benoni Defense, King Pawn lines",white,4070,A65,2022-07-25,2253,2210,44.6,21.2,34.1,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4
"Benoni Defense, King's Indian System",black,833,A56,2022-07-23,2239,2302,28.6,28.7,42.7,1.d4 Nf6 2.c4 c5 3.d5 e5 4.Nc3 d6 5.e4 g6
"Benoni Defense, Knight's Tour Variation",white,2182,A61,2022-07-10,2403,2358,47.3,26.4,26.4,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Nd2
"Benoni Defense, Mikenas Variation",white,249,A66,2022-02-02,2313,2241,48.6,18.1,33.3,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.e5
"Benoni Defense, Modern Variation",black,6325,A56,2022-07-24,2239,2275,36.0,27.3,36.7,1.d4 Nf6 2.c4 c5
"Benoni Defense, Modern Variation",black,3160,A60,2022-07-16,2193,2230,33.0,21.9,45.1,1.d4 Nf6 2.c4 c5 3.d5 e6
"Benoni Defense, Modern Variation, Snake Variation",black,971,A60,2022-06-15,2264,2303,40.6,20.5,38.9,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 Bd6
"Benoni Defense, Old Benoni Defense, Clarendon Court Variation",black,613,A43,2022-05-14,2123,2163,30.8,19.9,49.3,1.d4 c5 2.d5 f5
"Benoni Defense, Old Benoni",black,1633,A43,2022-07-18,2138,2166,29.4,24.1,46.4,1.d4 c5 2.d5 d6
"Benoni Defense, Old Benoni, Pawn Thrust",black,1953,A44,2022-07-16,2141,2200,33.3,23.9,42.8,1.d4 c5 2.d5 e5
"Benoni Defense, Old Benoni, Russian Variation",black,2928,A44,2022-07-07,2180,2237,27.4,23.5,49.1,1.d4 c5 2.d5 e5 3.e4 d6
"Benoni Defense, Old Benoni, Schmid  Variation",black,135,A43,2022-06-14,2260,2237,38.5,25.2,36.3,1.d4 c5 2.d5 d6 3.Nc3 g6
"Benoni Defense, Pawn Storm Variation",white,184,A66,2022-05-20,2202,2126,56.0,14.7,29.4,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4
"Benoni Defense, Taimanov Variation",white,2930,A67,2022-07-01,2349,2288,50.2,19.4,30.4,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.e4 g6 7.f4 Bg7 8.Bb5+
"Benoni Defense, Uhlmann Variation",white,638,A61,2022-05-21,2359,2325,43.6,24.9,31.5,1.d4 Nf6 2.c4 c5 3.d5 e6 4.Nc3 exd5 5.cxd5 d6 6.Nf3 g6 7.Bg5
"Benoni Defense, Vulture Defense",black,322,A56,2022-04-19,2144,2201,31.1,20.8,48.1,1.d4 c5 2.d5 Nf6 3.c4 Ne4
"Benoni Defense, Weenink Variation",black,279,A56,2022-04-12,2167,2202,36.6,35.5,28.0,1.d4 Nf6 2.c4 c5 3.dxc5 e6
"Benoni Defense, Woozle",black,103,A43,2022-01-09,2157,2284,19.4,16.5,64.1,1.d4 c5 2.d5 Nf6 3.Nc3 Qa5
"Bird Opening, Dutch Variation",black,9876,A03,2022-07-25,2108,2110,39.9,25.2,34.9,1.f4 d5
"Bird Opening, From Gambit",black,927,A02,2022-07-12,2041,2055,42.2,18.3,39.5,1.f4 e5
"Bird Opening, From Gambit, Lasker Variation",black,620,A02,2022-04-19,2046,2102,39.0,18.4,42.6,1.f4 e5 2.fxe5 d6 3.exd6 Bxd6 4.Nf3 g5
"Bird Opening, General",white,8322,A02,2022-07-26,2096,2087,35.5,23.2,41.3,1.f4
"Bird Opening, Lasker Variation",black,664,A03,2022-07-24,2002,2007,38.5,24.1,37.4,1.f4 d5 2.Nf3 Nf6 3.e3 c5
"Bird Opening, Schlechter Gambit",black,108,A02,2022-03-22,2109,2109,50.0,12.0,38.0,1.f4 e5 2.fxe5 Nc6
"Bishop's Opening, Berlin Defense",black,5150,C24,2022-07-24,2166,2183,29.2,27.7,43.1,1.e4 e5 2.Bc4 Nf6
"Bishop's Opening, Blanel Gambit",black,189,C23,2010-05-19,2214,2249,31.8,36.0,32.3,1.e4 e5 2.Bc4 Nf6 3.Nc3 Nxe4
"Bishop's Opening, Boden-Kieseritsky Gambit",white,371,C27,2022-05-01,2160,2114,42.9,25.9,31.3,1.e4 e5 2.Nc3 Nf6 3.Bc4 Nxe4 4.Nf3
"Bishop's Opening, Boi Variation",black,445,C20,2022-07-24,1904,1878,31.9,19.6,48.5,1.e4 e5 2.Bc4 Bc5
"Bishop's Opening, General",white,1169,C23,2022-07-24,2067,2052,49.0,20.2,30.8,1.e4 e5 2.Bc4
"Bishop's Opening, Ponziani Gambit",white,246,C24,2022-07-02,1986,1939,56.9,15.0,28.1,1.e4 e5 2.Bc4 Nf6 3.d4
"Bishop's Opening, Urusov Gambit",white,101,C24,2010-05-19,2184,2150,45.5,21.8,32.7,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3
"Bishop's Opening, Urusov Gambit, Keidansky Gambit",white,156,C24,2022-04-19,2235,2159,43.6,19.9,36.5,1.e4 e5 2.Bc4 Nf6 3.d4 exd4 4.Nf3 Nxe4 5.Qxd4
"Bishop's Opening, Vienna Hybrid",white,4400,C28,2022-07-25,2233,2210,39.1,28.8,32.0,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3
"Bishop's Opening, Vienna Hybrid, Hromadka Variation",white,613,C28,2022-07-25,2290,2262,37.7,33.3,29.0,1.e4 e5 2.Bc4 Nf6 3.d3 Nc6 4.Nc3 Bb4 5.Ne2
"Bishop's Opening, Vienna Hybrid, Spielmann Attack",white,1738,C26,2022-07-24,2172,2131,48.0,22.4,29.6,1.e4 e5 2.Bc4 Nf6 3.d3 Bc5 4.Nc3
"Blackmar-Diemer Gambit, Declined, Langeheinecke Defense",black,144,D00,2022-07-24,2117,2130,41.7,25.0,33.3,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 e3
"Blackmar-Diemer Gambit, Euwe Defense",black,216,D00,2022-07-24,1953,2033,33.8,13.4,52.8,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 e6
"Blackmar-Diemer Gambit, General",white,107,D00,2022-04-19,1956,1952,46.7,19.6,33.6,1.d4 d5 2.e4
"Blackmar-Diemer Gambit, Netherlands Variation",black,118,D00,2022-01-11,2208,2232,35.6,28.0,36.4,1.d4 d5 2.e4 dxe4 3.Nc3 f5
"Blackmar-Diemer Gambit, Ryder Gambit",white,109,D00,2022-01-26,1937,1938,40.4,10.1,49.5,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Qxf3
"Blackmar-Diemer Gambit, Tartakower Variation",black,110,D00,2022-04-24,2107,2121,47.3,12.7,40.0,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bf5
"Blackmar-Diemer Gambit, Teichmann Variation",black,390,D00,2022-07-24,2076,2086,48.2,13.1,38.7,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 Bg4
"Blackmar-Diemer Gambit, Vienna Variation",black,213,D00,2022-02-08,1977,2053,36.6,15.5,47.9,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 Bf5
"Blackmar-Diemer Gambit, Von Popiel Gambit",white,142,D00,2022-02-19,2003,2048,33.1,19.7,47.2,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.Bg5
"Blackmar-Diemer Gambit, Ziegler Defense",black,110,D00,2022-07-24,2096,2060,50.9,9.1,40.0,1.d4 d5 2.e4 dxe4 3.Nc3 Nf6 4.f3 exf3 5.Nxf3 c6
"Blumenfeld Countergambit, Accepted",black,757,E10,2022-07-09,2265,2308,36.2,19.1,44.6,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.dxe6 fxe6 6.cxb5 d5
"Blumenfeld Countergambit, Dus-Chotimursky Variation",white,1211,E10,2022-06-14,2376,2343,42.2,27.6,30.2,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5
"Blumenfeld Countergambit, General",black,768,E10,2022-07-30,2263,2275,42.7,20.3,37.0,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5
"Blumenfeld Countergambit, Spielmann Variation",black,218,E10,2022-05-09,2330,2375,32.6,28.4,39.0,1.d4 Nf6 2.c4 e6 3.Nf3 c5 4.d5 b5 5.Bg5 exd5 6.cxd5 h6
"Bogo-Indian Defense, Exchange Variation",black,2118,E11,2022-07-10,2211,2252,17.7,44.2,38.1,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Bxd2+
"Bogo-Indian Defense, GrÃ¼nfeld Variation",white,10405,E11,2022-07-24,2414,2375,43.5,33.6,22.9,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Nbd2
"Bogo-Indian Defense, Nimzowitsch Variation",black,9092,E11,2022-07-25,2248,2276,26.6,37.9,35.5,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Qe7
"Bogo-Indian Defense, Retreat Variation",black,350,E11,2022-07-24,2070,2086,30.6,24.9,44.6,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 Be7
"Bogo-Indian Defense, Vitolinsh Variation",black,2862,E11,2022-07-12,2318,2359,27.6,40.6,31.8,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 c5
"Bogo-Indian Defense, Wade-Smyslov Variation",black,3480,E11,2022-07-28,2320,2360,31.6,36.0,32.4,1.d4 Nf6 2.c4 e6 3.Nf3 Bb4+ 4.Bd2 a5
"Borg Defense, General",black,207,B00,2022-04-19,2139,2154,37.7,11.1,51.2,1.e4 g5
"Budapest Defense, Adler Variation",white,3524,A52,2022-07-26,2114,2096,42.7,24.9,32.4,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Nf3
"Budapest Defense, Alekhine Variation",white,419,A52,2022-06-14,2197,2150,54.2,18.1,27.7,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4
"Budapest Defense, Alekhine Variation, Abonyi Variation",black,350,A52,2022-05-23,2175,2198,32.6,18.0,49.4,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.e4 Nxe5 5.f4 Nec6
"Budapest Defense, Fajarowicz Variation",black,1204,A51,2022-07-24,2089,2133,27.4,23.1,49.5,1.d4 Nf6 2.c4 e5 3.dxe5 Ne4
"Budapest Defense, General",black,986,A52,2022-07-16,2074,2111,26.9,20.3,52.8,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4
"Budapest Defense, Rubinstein Variation",white,3124,A52,2022-07-24,2245,2201,50.6,27.4,22.0,1.d4 Nf6 2.c4 e5 3.dxe5 Ng4 4.Bf4
"Caro-Kann Defense, Accelerated Panov Attack",black,1153,B10,2022-07-16,2022,2039,23.5,23.7,52.8,1.e4 c6 2.c4 d5
"Caro-Kann Defense, Accelerated Panov Attack",white,782,B10,2022-04-19,2228,2200,47.8,23.3,28.9,1.e4 c6 2.c4
"Caro-Kann Defense, Accelerated Panov Attack, Modern Variation",black,5785,B10,2022-07-30,2252,2277,26.7,33.0,40.2,1.e4 c6 2.c4 d5 3.exd5 cxd5 4.cxd5 Nf6
"Caro-Kann Defense, Accelerated Panov Attack, Open Variation",black,1585,B10,2022-07-18,2230,2285,24.2,31.5,44.3,1.e4 c6 2.c4 e5
"Caro-Kann Defense, Advance Variation",white,7856,B12,2022-07-29,2235,2215,40.8,26.8,32.4,1.e4 c6 2.d4 d5 3.e5
"Caro-Kann Defense, Advance Variation, Bayonet Attack",white,1010,B12,2022-07-24,2053,2054,43.3,18.4,38.3,1.e4 c6 2.d4 d5 3.e5 Bf5 4.g4
"Caro-Kann Defense, Advance Variation, Botvinnik-Carls Defense",black,7115,B12,2022-07-25,2208,2227,34.1,23.4,42.4,1.e4 c6 2.d4 d5 3.e5 c5
"Caro-Kann Defense, Advance Variation, Bronstein Variation",white,819,B12,2022-05-21,2168,2140,44.1,20.9,35.0,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Ne2
"Caro-Kann Defense, Advance Variation, Short Variation",white,11772,B12,2022-07-27,2323,2304,41.2,27.9,30.8,1.e4 c6 2.d4 d5 3.e5 Bf5 4.Nf3
"Caro-Kann Defense, Advance Variation, Tal Variation",white,5825,B12,2022-07-28,2302,2264,44.5,23.5,32.0,1.e4 c6 2.d4 d5 3.e5 Bf5 4.h4
